player;height;position;year_born;nationality
MEHMET YAGMUR;1.88;Guard;1987;Turkey
BOUDJI YAICI;1.85;Guard;1987;Algeria
TIMOFEY YAKUSHIN;1.94;Guard;1997;Russian Federation
DERYA YANNIER;1.90;Guard;1985;Turkey
BEKIR YARANGUME;1.98;Forward;1979;Turkey
MEHMET YATAGAN;1.92;Guard;1993;Turkey
FIRAT YAVUZ;;;1990;Turkey
KERIM YENICE;;;1979;Turkey
DOGAN YIGIT;;;1989;Turkey
SOYKAN YIKILMAZ;1.86;Guard;1992;Turkey
HALUK YILDIRIM;2.00;Forward;1972;Turkey
BURAK YILDIZLI;2.04;;1994;Turkey
ALPER YILMAZ;1.97;Forward;1975;Turkey
DAGAN YIVZORI;1.93;Guard;1985;Israel
ALVIN YOUNG;;;1975;United States of America
PATRIC YOUNG;2.09;Center;1992;United States of America
ROBERT YOUNGBLOOD;2.01;Forward;1969;United States of America
ANTON YUDIN;;Guard;1972;Russian Federation
OMER YURTSEVEN;2.08;Forward;1998;Turkey
SANTI YUSTA;2.00;Forward;1997;Spain
ARTEM ZABELIN;2.15;Center;1988;Russian Federation
THEODORE ZACHEE;;;1990;France
SASA ZAGORAC;2.06;;1984;Slovenia
ZELIMIR ZAGORAC;2.04;Forward;1981;Slovenia
EREZ ZAICHIK;1.93;;1978;Israel
ALEXANDR ZAKHAROV;2.00;;1993;Russian Federation
DENIS ZAKHAROV;1.92;Guard;1993;Russian Federation
IDAN ZALMANSON;2.05;;1995;Israel
TOMER ZALMANSON;1.93;Guard;1998;Israel
IGOR ZAMANSKIY;2.02;Forward;1977;Russian Federation
GIAMPAOLO ZAMBERLAN;2.02;Forward;1962;Italy
PRZEMYSLAW ZAMOJSKI;1.86;Guard;1986;Poland
FABIO ZANELLI;1.96;Forward;1976;Italy
DONATAS ZAVACKAS;2.03;Forward;1980;Lithuania
VASILY ZAVOUREV;1.96;Guard;1987;Russian Federation
VYACHESLAV ZAYTSEV;1.90;Guard;1989;Russian Federation
JURE ZDOVC;;Guard;1966;Slovenia
FREJUS ZERBO;2.05;Center;1989;Ivory Coast
KARLO ZGANEC;2.06;Forward;1995;Croatia
ALEXEY ZHUKANENKO;2.10;Center;1986;Russian Federation
JIRI ZIDEK;2.12;Center;1973;Czech Republic
MACIEJ ZIELINSKI;1.98;Forward;1971;Poland
THIERRY ZIG;1.91;Guard;1975;France
IVAN ZIGERANOVIC;2.12;Center;1984;Serbia
PAUL ZIPSER;2.03;Forward;1994;Germany
MAIK ZIRBES;2.07;Center;1990;Germany
NIKOS ZISIS;1.97;Guard;1983;Greece
SRDJAN ZIVKOVIC;2.00;;1986;Serbia
ANDRIJA ZIZIC;2.06;Center;1980;Croatia
ANTE ZIZIC;2.10;Center;1997;Croatia
ANTONIO ZIZIC;2.05;Center;1986;Croatia
YOVEL ZOOSMAN;2.00;Guard;1998;Israel
LUKA ZORIC;2.11;Center;1984;Croatia
IVAN ZOROSKI;1.95;Guard;1979;Serbia
FOTIOS ZOUMPOS;1.90;Guard;1993;Greece
ALEKSEY ZOZULIN;1.99;Guard;1983;Russian Federation
TOMISLAV ZUBCIC;2.13;Center;1990;Croatia
ANDREY ZUBKOV;2.06;Forward;1991;Russian Federation
FEDOR ZUGIC;1.98;Guard;2003;Montenegro
EURELIJUS ZUKAUSKAS;2.16;Center;1973;Lithuania
MINDAUGAS ZUKAUSKAS;2.01;Forward;1975;Lithuania
MIHA ZUPAN;2.04;Center;1982;Slovenia
MATEJ ZUPEVEC;;;1985;Slovenia
JURICA ZUZA;2.07;Center;1978;Croatia
PHILLIP ZWIENER;2.01;Forward;1985;Germany
KAMIL ZYWERT;1.84;Guard;1996;Poland
